Report Month,Org Code,Department,All reported employees,Telework eligible employees,Telework eligible / All reported,Remote centered employees,Remote centered / All reported,Remote centered / Telework eligible,Office centered employees,Office centered / All reported,Office centered / Telework eligible,Teleworker (remote + office),Teleworker / All reported,Teleworker / Telework eligible,Not teleworking employees from eligible,Not teleworking / All reported,Not teleworking / Telework eligible,Not teleworking + Not eligible,Not teleworking + Not eligible / All reported,Telework days % from eligible
2021-12,3760,State Coastal Conservancy,55,54,98.20%,52,94.50%,96.30%,2,3.60%,3.70%,54,98.20%,100.00%,0,0.00%,0.00%,1,1.80%,92.60%
2021-12,4100,State Council on Developmental Disabilities,66,66,100.00%,49,74.20%,74.20%,12,18.20%,18.20%,61,92.40%,92.40%,5,7.60%,7.60%,5,7.60%,70.00%
2021-12,3560,State Lands Commission,200,169,84.50%,157,78.50%,92.90%,10,5.00%,5.90%,167,83.50%,98.80%,2,1.00%,1.20%,33,16.50%,86.40%
2021-12,7503,State Personnel Board,77,76,98.70%,74,96.10%,97.40%,2,2.60%,2.60%,76,98.70%,100.00%,0,0.00%,0.00%,1,1.30%,92.30%
2021-12,8140,State Public Defender,83,83,100.00%,59,71.10%,71.10%,15,18.10%,18.10%,74,89.20%,89.20%,9,10.80%,10.80%,9,10.80%,73.40%
2021-12,7920,State Teachers' Retirement System,1297,1295,99.80%,1295,99.80%,100.00%,0,0.00%,0.00%,1295,99.80%,100.00%,0,0.00%,0.00%,2,0.20%,100.00%
2021-12,3940,State Water Resources Control Board,2315,2315,100.00%,1922,83.00%,83.00%,97,4.20%,4.20%,2019,87.20%,87.20%,296,12.80%,12.80%,296,12.80%,82.60%
2021-12,8885,"States Mandates, Commission on",12,11,91.70%,10,83.30%,90.90%,1,8.30%,9.10%,11,91.70%,100.00%,0,0.00%,0.00%,1,8.30%,78.20%
2021-12,6980,"Student Aid Commission, California",138,138,100.00%,138,100.00%,100.00%,0,0.00%,0.00%,138,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-12,3640,Wildlife Conservation Board,34,32,94.10%,15,44.10%,46.90%,1,2.90%,3.10%,16,47.10%,50.00%,16,47.10%,50.00%,18,52.90%,47.50%
2022-01,7300,Agricultural Labor Relations Board,60,60,100.00%,51,85.00%,85.00%,5,8.30%,8.30%,56,93.30%,93.30%,4,6.70%,6.70%,4,6.70%,64.70%
2022-01,2120,Alcoholic Beverage Control Appeals Board,6,6,100.00%,5,83.30%,83.30%,1,16.70%,16.70%,6,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,78.60%
2022-01,3835,Baldwin Hills Conservancy,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,93.30%
2022-01,A541,Board of Forestry and Fire Protection,11,1,9.10%,1,9.10%,100.00%,0,0.00%,0.00%,1,9.10%,100.00%,0,0.00%,0.00%,10,90.90%,80.00%
2022-01,6870,Board of Governors of the California Community Colleges,171,171,100.00%,171,100.00%,100.00%,0,0.00%,0.00%,171,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,5227,Board of State and Community Corrections,97,97,100.00%,96,99.00%,99.00%,1,1.00%,1.00%,97,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,99.20%
2022-01,3105,California African-American Museum,35,18,51.40%,18,51.40%,100.00%,0,0.00%,0.00%,18,51.40%,100.00%,0,0.00%,0.00%,17,48.60%,100.00%
2022-01,4250,California Children and Families Commission,36,36,100.00%,36,100.00%,100.00%,0,0.00%,0.00%,36,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,63.60%
2022-01,1700,California Civil Rights Department,262,262,100.00%,252,96.20%,96.20%,5,1.90%,1.90%,257,98.10%,98.10%,5,1.90%,1.90%,5,1.90%,91.20%
2022-01,3720,California Coastal Commission,178,178,100.00%,178,100.00%,100.00%,0,0.00%,0.00%,178,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,80.00%
2022-01,3340,California Conservation Corps,507,146,28.80%,97,19.10%,66.40%,49,9.70%,33.60%,146,28.80%,100.00%,0,0.00%,0.00%,361,71.20%,66.20%
2022-01,A059,California Correctional Health Care Services,15179,2155,14.20%,1432,9.40%,66.50%,574,3.80%,26.60%,2006,13.20%,93.10%,149,1.00%,6.90%,13173,86.80%,65.00%
2022-01,7600,California Department of Tax and Fee Administration,3506,3474,99.10%,3346,95.40%,96.30%,107,3.10%,3.10%,3453,98.50%,99.40%,21,0.60%,0.60%,53,1.50%,91.40%
2022-01,7502,California Department of Technology,901,899,99.80%,798,88.60%,88.80%,14,1.60%,1.60%,812,90.10%,90.30%,87,9.70%,9.70%,89,9.90%,88.40%
2022-01,A341,California Earthquake Authority,78,78,100.00%,75,96.20%,96.20%,2,2.60%,2.60%,77,98.70%,98.70%,1,1.30%,1.30%,1,1.30%,94.60%
2022-01,8560,California Exposition and State Fair,102,2,2.00%,1,1.00%,50.00%,1,1.00%,50.00%,2,2.00%,100.00%,0,0.00%,0.00%,100,98.00%,60.00%
2022-01,855,California Gambling Control Commission,38,38,100.00%,37,97.40%,97.40%,1,2.60%,2.60%,38,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,89.60%
2022-01,4800,California Health Benefit Exchange,1330,1330,100.00%,1294,97.30%,97.30%,19,1.40%,1.40%,1313,98.70%,98.70%,17,1.30%,1.30%,17,1.30%,97.80%
2022-01,2720,California Highway Patrol,9828,1489,15.20%,150,1.50%,10.10%,319,3.20%,21.40%,469,4.80%,31.50%,1020,10.40%,68.50%,9359,95.20%,16.60%
2022-01,1750,California Horse Racing Board,49,27,55.10%,21,42.90%,77.80%,5,10.20%,18.50%,26,53.10%,96.30%,1,2.00%,3.70%,23,46.90%,70.50%
2022-01,1703,California Privacy Protection Agency,3,3,100.00%,2,66.70%,66.70%,0,0.00%,0.00%,2,66.70%,66.70%,1,33.30%,33.30%,1,33.30%,71.40%
2022-01,6250,California School for the Deaf - Riverside,327,19,5.80%,3,0.90%,15.80%,10,3.10%,52.60%,13,4.00%,68.40%,6,1.80%,31.60%,314,96.00%,32.80%
2022-01,A314,California Science Center,101,32,31.70%,2,2.00%,6.30%,28,27.70%,87.50%,30,29.70%,93.80%,2,2.00%,6.30%,71,70.30%,40.00%
2022-01,6120,California State Library,151,145,96.00%,85,56.30%,58.60%,58,38.40%,40.00%,143,94.70%,98.60%,2,1.30%,1.40%,8,5.30%,64.90%
2022-01,3125,California Tahoe Conservancy,42,42,100.00%,41,97.60%,97.60%,0,0.00%,0.00%,41,97.60%,97.60%,1,2.40%,2.40%,1,2.40%,97.60%
2022-01,2600,California Transportation Commission,37,37,100.00%,37,100.00%,100.00%,0,0.00%,0.00%,37,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,90.30%
2022-01,7870,California Victim Compensation Board,227,222,97.80%,212,93.40%,95.50%,10,4.40%,4.50%,222,97.80%,100.00%,0,0.00%,0.00%,5,2.20%,80.60%
2022-01,1045,Cannabis Control Appeals Panel,8,8,100.00%,6,75.00%,75.00%,2,25.00%,25.00%,8,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,80.00%
2022-01,3862,Central Valley Flood Protection Board,44,44,100.00%,44,100.00%,100.00%,0,0.00%,0.00%,44,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,95.40%
2022-01,3850,Coachella Valley Mountains Conservancy,4,4,100.00%,2,50.00%,50.00%,2,50.00%,50.00%,4,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,46.20%
2022-01,8120,Commission on Peace Officer Standards and Training,132,132,100.00%,125,94.70%,94.70%,5,3.80%,3.80%,130,98.50%,98.50%,2,1.50%,1.50%,2,1.50%,96.50%
2022-01,6360,Commission on Teacher Credentialing,155,144,92.90%,138,89.00%,95.80%,6,3.90%,4.20%,144,92.90%,100.00%,0,0.00%,0.00%,11,7.10%,87.50%
2022-01,A424,Cradle-to-Career,7,7,100.00%,7,100.00%,100.00%,0,0.00%,0.00%,7,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,94.30%
2022-01,3840,Delta Protection Commission,7,6,85.70%,4,57.10%,66.70%,1,14.30%,16.70%,5,71.40%,83.30%,1,14.30%,16.70%,2,28.60%,61.70%
2022-01,3885,Delta Stewardship Council,55,55,100.00%,54,98.20%,98.20%,1,1.80%,1.80%,55,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,87.00%
2022-01,4170,Department of Aging,175,175,100.00%,174,99.40%,99.40%,0,0.00%,0.00%,174,99.40%,99.40%,1,0.60%,0.60%,1,0.60%,99.10%
2022-01,2100,Department of Alcoholic Beverage Control,477,412,86.40%,256,53.70%,62.10%,154,32.30%,37.40%,410,86.00%,99.50%,2,0.40%,0.50%,67,14.00%,55.80%
2022-01,1115,Department of Cannabis Control,399,395,99.00%,311,77.90%,78.70%,14,3.50%,3.50%,325,81.50%,82.30%,70,17.50%,17.70%,74,18.50%,75.90%
2022-01,5175,Department of Child Support Services,589,589,100.00%,564,95.80%,95.80%,25,4.20%,4.20%,589,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,95.50%
2022-01,4700,Department of Community Services and Development,110,107,97.30%,107,97.30%,100.00%,0,0.00%,0.00%,107,97.30%,100.00%,0,0.00%,0.00%,3,2.70%,100.00%
2022-01,3480,Department of Conservation,614,614,100.00%,502,81.80%,81.80%,79,12.90%,12.90%,581,94.60%,94.60%,33,5.40%,5.40%,33,5.40%,77.70%
2022-01,1111,Department of Consumer Affairs,3111,2495,80.20%,1630,52.40%,65.30%,581,18.70%,23.30%,2211,71.10%,88.60%,284,9.10%,11.40%,900,28.90%,60.90%
2022-01,5225,Department of Corrections and Rehabilitation,41815,4532,10.80%,2362,5.60%,52.10%,802,1.90%,17.70%,3164,7.60%,69.80%,1368,3.30%,30.20%,38651,92.40%,51.70%
2022-01,4300,Department of Developmental Services,2193,557,25.40%,534,24.40%,95.90%,22,1.00%,3.90%,556,25.40%,99.80%,1,0.00%,0.20%,1637,74.60%,91.30%
2022-01,8860,Department of Finance,379,378,99.70%,330,87.10%,87.30%,38,10.00%,10.10%,368,97.10%,97.40%,10,2.60%,2.60%,11,2.90%,82.60%
2022-01,1701,Department of Financial Protection and Innovation,689,683,99.10%,638,92.60%,93.40%,35,5.10%,5.10%,673,97.70%,98.50%,10,1.50%,1.50%,16,2.30%,92.60%
2022-01,3600,Department of Fish and Wildlife,3003,1822,60.70%,1099,36.60%,60.30%,58,1.90%,3.20%,1157,38.50%,63.50%,665,22.10%,36.50%,1846,61.50%,60.10%
2022-01,8570,Department of Food and Agriculture,702,491,69.90%,370,52.70%,75.40%,59,8.40%,12.00%,429,61.10%,87.40%,62,8.80%,12.60%,273,38.90%,72.40%
2022-01,3540,Department of Forestry and Fire Protection,6872,199,2.90%,153,2.20%,76.90%,42,0.60%,21.10%,195,2.80%,98.00%,4,0.10%,2.00%,6677,97.20%,71.50%
2022-01,7760,Department of General Services,3485,1943,55.80%,1406,40.30%,72.40%,156,4.50%,8.00%,1562,44.80%,80.40%,381,10.90%,19.60%,1923,55.20%,71.00%
2022-01,4140,Department of Health Care Access and Information,454,448,98.70%,403,88.80%,90.00%,36,7.90%,8.00%,439,96.70%,98.00%,9,2.00%,2.00%,15,3.30%,89.50%
2022-01,2240,Department of Housing and Community Development,865,856,99.00%,686,79.30%,80.10%,82,9.50%,9.60%,768,88.80%,89.70%,88,10.20%,10.30%,97,11.20%,78.90%
2022-01,7501,Department of Human Resources,320,299,93.40%,278,86.90%,93.00%,16,5.00%,5.40%,294,91.90%,98.30%,5,1.60%,1.70%,26,8.10%,89.80%
2022-01,820,Department of Justice,4095,3877,94.70%,2846,69.50%,73.40%,672,16.40%,17.30%,3518,85.90%,90.70%,359,8.80%,9.30%,577,14.10%,70.20%
2022-01,4150,Department of Managed Health Care,526,483,91.80%,483,91.80%,100.00%,0,0.00%,0.00%,483,91.80%,100.00%,0,0.00%,0.00%,43,8.20%,100.00%
2022-01,3790,Department of Parks and Recreation,5823,1164,20.00%,765,13.10%,65.70%,226,3.90%,19.40%,991,17.00%,85.10%,173,3.00%,14.90%,4832,83.00%,62.20%
2022-01,3930,Department of Pesticide Regulation,426,421,98.80%,405,95.10%,96.20%,13,3.10%,3.10%,418,98.10%,99.30%,3,0.70%,0.70%,8,1.90%,87.80%
2022-01,4265,Department of Public Health,3938,3938,100.00%,2784,70.70%,70.70%,28,0.70%,0.70%,2812,71.40%,71.40%,1126,28.60%,28.60%,1126,28.60%,69.00%
2022-01,2320,Department of Real Estate,338,328,97.00%,282,83.40%,86.00%,40,11.80%,12.20%,322,95.30%,98.20%,6,1.80%,1.80%,16,4.70%,65.30%
2022-01,5160,Department of Rehabilitation,1760,1625,92.30%,1093,62.10%,67.30%,429,24.40%,26.40%,1522,86.50%,93.70%,103,5.90%,6.30%,238,13.50%,60.40%
2022-01,3970,Department of Resources Recycling and Recovery,770,764,99.20%,701,91.00%,91.80%,40,5.20%,5.20%,741,96.20%,97.00%,23,3.00%,3.00%,29,3.80%,87.80%
2022-01,5180,Department of Social Services,5182,5151,99.40%,3394,65.50%,65.90%,1757,33.90%,34.10%,5151,99.40%,100.00%,0,0.00%,0.00%,31,0.60%,71.60%
2022-01,4440,Department of State Hospitals,11417,1016,8.90%,710,6.20%,69.90%,257,2.30%,25.30%,967,8.50%,95.20%,49,0.40%,4.80%,10450,91.50%,66.80%
2022-01,3960,Department of Toxic Substances Control,996,996,100.00%,680,68.30%,68.30%,106,10.60%,10.60%,786,78.90%,78.90%,210,21.10%,21.10%,210,21.10%,63.80%
2022-01,8955,Department of Veterans Affairs,2826,430,15.20%,345,12.20%,80.20%,71,2.50%,16.50%,416,14.70%,96.70%,14,0.50%,3.30%,2410,85.30%,73.50%
2022-01,3860,Department of Water Resources,3460,2282,66.00%,1809,52.30%,79.30%,434,12.50%,19.00%,2243,64.80%,98.30%,39,1.10%,1.70%,1217,35.20%,71.60%
2022-01,6125,Education Audit Appeals Panel,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,73.30%
2022-01,7100,Employment Development Department,9835,8794,89.40%,8260,84.00%,93.90%,508,5.20%,5.80%,8768,89.20%,99.70%,26,0.30%,0.30%,1067,10.80%,92.70%
2022-01,3360,Energy Resources Conservation and Development Commission,598,598,100.00%,588,98.30%,98.30%,10,1.70%,1.70%,598,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,97.00%
2022-01,8620,Fair Political Practices Commission,83,83,100.00%,83,100.00%,100.00%,0,0.00%,0.00%,83,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,8880,Financial Information System for California,291,291,100.00%,290,99.70%,99.70%,1,0.30%,0.30%,291,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,98.60%
2022-01,7730,Franchise Tax Board,5997,5081,84.70%,3443,57.40%,67.80%,124,2.10%,2.40%,3567,59.50%,70.20%,1514,25.20%,29.80%,2430,40.50%,66.40%
2022-01,500,Governor's Office,115,115,100.00%,78,67.80%,67.80%,24,20.90%,20.90%,102,88.70%,88.70%,13,11.30%,11.30%,13,11.30%,69.50%
2022-01,509,Governor's Office of Business and Economic Development (GO-Biz),130,128,98.50%,117,90.00%,91.40%,10,7.70%,7.80%,127,97.70%,99.20%,1,0.80%,0.80%,3,2.30%,90.30%
2022-01,690,Governor's Office of Emergency Services,1426,1054,73.90%,800,56.10%,75.90%,139,9.70%,13.20%,939,65.80%,89.10%,115,8.10%,10.90%,487,34.20%,72.50%
2022-01,2665,High-Speed Rail Authority,315,293,93.00%,251,79.70%,85.70%,34,10.80%,11.60%,285,90.50%,97.30%,8,2.50%,2.70%,30,9.50%,82.60%
2022-01,8830,"Law Revision Commission, California",7,7,100.00%,7,100.00%,100.00%,0,0.00%,0.00%,7,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,8940,Military Department,283,70,24.70%,51,18.00%,72.90%,18,6.40%,25.70%,69,24.40%,98.60%,1,0.40%,1.40%,214,75.60%,60.00%
2022-01,8780,"Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",7,7,100.00%,7,100.00%,100.00%,0,0.00%,0.00%,7,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,3780,Native American Heritage Commission,8,8,100.00%,7,87.50%,87.50%,1,12.50%,12.50%,8,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,92.50%
2022-01,7910,Office of Administrative Law,23,21,91.30%,13,56.50%,61.90%,8,34.80%,38.10%,21,91.30%,100.00%,0,0.00%,0.00%,2,8.70%,58.10%
2022-01,7504,Office of Data and Innovation,19,19,100.00%,19,100.00%,100.00%,0,0.00%,0.00%,19,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,3355,Office of Energy Infrastructure Safety,44,44,100.00%,44,100.00%,100.00%,0,0.00%,0.00%,44,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,650,Office of Planning and Research,123,121,98.40%,108,87.80%,89.30%,13,10.60%,10.70%,121,98.40%,100.00%,0,0.00%,0.00%,2,1.60%,88.60%
2022-01,531,Office of Systems Integration,337,337,100.00%,335,99.40%,99.40%,2,0.60%,0.60%,337,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,96.00%
2022-01,552,Office of the Inspector General,132,132,100.00%,126,95.50%,95.50%,1,0.80%,0.80%,127,96.20%,96.20%,5,3.80%,3.80%,5,3.80%,94.00%
2022-01,5420,Prison Industry Authority,1032,252,24.40%,190,18.40%,75.40%,61,5.90%,24.20%,251,24.30%,99.60%,1,0.10%,0.40%,781,75.70%,62.80%
2022-01,7320,Public Employment Relations Board,73,73,100.00%,65,89.00%,89.00%,7,9.60%,9.60%,72,98.60%,98.60%,1,1.40%,1.40%,1,1.40%,75.60%
2022-01,8660,Public Utilities Commission,1244,1244,100.00%,1185,95.30%,95.30%,59,4.70%,4.70%,1244,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,81.50%
2022-01,3875,Sacramento-San Joaquin Delta Conservancy,11,11,100.00%,11,100.00%,100.00%,0,0.00%,0.00%,11,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,3845,San Diego River Conservancy,3,3,100.00%,0,0.00%,0.00%,0,0.00%,0.00%,0,0.00%,0.00%,3,100.00%,100.00%,3,100.00%,0.00%
2022-01,3820,San Francisco Bay Conservation and Development Commission,48,48,100.00%,48,100.00%,100.00%,0,0.00%,0.00%,48,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,3825,San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,9,9,100.00%,9,100.00%,100.00%,0,0.00%,0.00%,9,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,77.80%
2022-01,3830,San Joaquin River Conservancy,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,93.30%
2022-01,3810,Santa Monica Mountains Conservancy,7,7,100.00%,7,100.00%,100.00%,0,0.00%,0.00%,7,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,515,"Secretary for Business, Consumer Services, and Housing Agency",52,52,100.00%,49,94.20%,94.20%,2,3.80%,3.80%,51,98.10%,98.10%,1,1.90%,1.90%,1,1.90%,89.20%
2022-01,555,Secretary for Environmental Protection,77,68,88.30%,63,81.80%,92.60%,0,0.00%,0.00%,63,81.80%,92.60%,5,6.50%,7.40%,14,18.20%,90.00%
2022-01,511,Secretary for Government Operations Agency,29,29,100.00%,29,100.00%,100.00%,0,0.00%,0.00%,29,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,93.80%
2022-01,559,Secretary for Labor and Workforce Development Agency,32,28,87.50%,14,43.80%,50.00%,10,31.30%,35.70%,24,75.00%,85.70%,4,12.50%,14.30%,8,25.00%,50.00%
2022-01,521,Secretary for Transportation Agency,22,22,100.00%,19,86.40%,86.40%,2,9.10%,9.10%,21,95.50%,95.50%,1,4.50%,4.50%,1,4.50%,72.70%
2022-01,890,Secretary of State,563,563,100.00%,493,87.60%,87.60%,62,11.00%,11.00%,555,98.60%,98.60%,8,1.40%,1.40%,8,1.40%,63.30%
2022-01,540,Secretary of the Natural Resources Agency,85,85,100.00%,77,90.60%,90.60%,8,9.40%,9.40%,85,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,94.30%
2022-01,3855,Sierra Nevada Conservancy,39,39,100.00%,37,94.90%,94.90%,2,5.10%,5.10%,39,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,93.70%
2022-01,3900,State Air Resources Board,1573,1573,100.00%,1466,93.20%,93.20%,98,6.20%,6.20%,1564,99.40%,99.40%,9,0.60%,0.60%,9,0.60%,86.10%
2022-01,860,State Board of Equalization,160,160,100.00%,160,100.00%,100.00%,0,0.00%,0.00%,160,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,3760,State Coastal Conservancy,55,54,98.20%,52,94.50%,96.30%,2,3.60%,3.70%,54,98.20%,100.00%,0,0.00%,0.00%,1,1.80%,92.60%
2022-01,4100,State Council on Developmental Disabilities,66,66,100.00%,49,74.20%,74.20%,12,18.20%,18.20%,61,92.40%,92.40%,5,7.60%,7.60%,5,7.60%,70.00%
2022-01,4260,State Department of Health Care Services,3838,3462,90.20%,2459,64.10%,71.00%,300,7.80%,8.70%,2759,71.90%,79.70%,703,18.30%,20.30%,1079,28.10%,67.40%
2022-01,3560,State Lands Commission,202,170,84.20%,158,78.20%,92.90%,10,5.00%,5.90%,168,83.20%,98.80%,2,1.00%,1.20%,34,16.80%,86.70%
2022-01,7503,State Personnel Board,76,75,98.70%,73,96.10%,97.30%,2,2.60%,2.70%,75,98.70%,100.00%,0,0.00%,0.00%,1,1.30%,92.20%
2022-01,8140,State Public Defender,81,81,100.00%,57,70.40%,70.40%,15,18.50%,18.50%,72,88.90%,88.90%,9,11.10%,11.10%,9,11.10%,72.80%
2022-01,7920,State Teachers' Retirement System,1286,1284,99.80%,1284,99.80%,100.00%,0,0.00%,0.00%,1284,99.80%,100.00%,0,0.00%,0.00%,2,0.20%,100.00%
2022-01,3940,State Water Resources Control Board,2320,2320,100.00%,1974,85.10%,85.10%,100,4.30%,4.30%,2074,89.40%,89.40%,246,10.60%,10.60%,246,10.60%,84.60%
2022-01,8885,"States Mandates, Commission on",12,11,91.70%,10,83.30%,90.90%,1,8.30%,9.10%,11,91.70%,100.00%,0,0.00%,0.00%,1,8.30%,78.20%
2022-01,6980,"Student Aid Commission, California",138,138,100.00%,138,100.00%,100.00%,0,0.00%,0.00%,138,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-01,3640,Wildlife Conservation Board,34,32,94.10%,15,44.10%,46.90%,1,2.90%,3.10%,16,47.10%,50.00%,16,47.10%,50.00%,18,52.90%,47.50%
2022-02,7300,Agricultural Labor Relations Board,62,62,100.00%,51,82.30%,82.30%,5,8.10%,8.10%,56,90.30%,90.30%,6,9.70%,9.70%,6,9.70%,62.10%
2022-02,2120,Alcoholic Beverage Control Appeals Board,6,6,100.00%,5,83.30%,83.30%,1,16.70%,16.70%,6,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,78.60%
2022-02,3835,Baldwin Hills Conservancy,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,86.70%
2022-02,A541,Board of Forestry and Fire Protection,11,9,81.80%,8,72.70%,88.90%,1,9.10%,11.10%,9,81.80%,100.00%,0,0.00%,0.00%,2,18.20%,77.80%
2022-02,6870,Board of Governors of the California Community Colleges,167,167,100.00%,167,100.00%,100.00%,0,0.00%,0.00%,167,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2022-02,5227,Board of State and Community Corrections,102,102,100.00%,101,99.00%,99.00%,0,0.00%,0.00%,101,99.00%,99.00%,1,1.00%,1.00%,1,1.00%,99.00%
2022-02,3105,California African-American Museum,35,18,51.40%,18,51.40%,100.00%,0,0.00%,0.00%,18,51.40%,100.00%,0,0.00%,0.00%,17,48.60%,100.00%
2022-02,4250,California Children and Families Commission,37,37,100.00%,37,100.00%,100.00%,0,0.00%,0.00%,37,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,63.50%
2022-02,1700,California Civil Rights Department,262,262,100.00%,252,96.20%,96.20%,5,1.90%,1.90%,257,98.10%,98.10%,5,1.90%,1.90%,5,1.90%,91.20%
2022-02,3720,California Coastal Commission,178,178,100.00%,178,100.00%,100.00%,0,0.00%,0.00%,178,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,80.00%
2022-02,3340,California Conservation Corps,525,155,29.50%,99,18.90%,63.90%,55,10.50%,35.50%,154,29.30%,99.40%,1,0.20%,0.60%,371,70.70%,66.90%
2022-02,A059,California Correctional Health Care Services,14513,1705,11.70%,1128,7.80%,66.20%,440,3.00%,25.80%,1568,10.80%,92.00%,137,0.90%,8.00%,12945,89.20%,66.20%
2022-02,7600,California Department of Tax and Fee Administration,3488,3457,99.10%,3328,95.40%,96.30%,109,3.10%,3.20%,3437,98.50%,99.40%,20,0.60%,0.60%,51,1.50%,91.50%
2022-02,7502,California Department of Technology,908,906,99.80%,906,99.80%,100.00%,0,0.00%,0.00%,906,99.80%,100.00%,0,0.00%,0.00%,2,0.20%,100.00%
2022-02,A341,California Earthquake Authority,80,80,100.00%,77,96.30%,96.30%,2,2.50%,2.50%,79,98.80%,98.80%,1,1.30%,1.30%,1,1.30%,95.00%
2022-02,8560,California Exposition and State Fair,102,2,2.00%,1,1.00%,50.00%,1,1.00%,50.00%,2,2.00%,100.00%,0,0.00%,0.00%,100,98.00%,60.00%
2022-02,855,California Gambling Control Commission,38,38,100.00%,37,97.40%,97.40%,1,2.60%,2.60%,38,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,90.10%
2022-02,4800,California Health Benefit Exchange,1276,1276,100.00%,1220,95.60%,95.60%,36,2.80%,2.80%,1256,98.40%,98.40%,20,1.60%,1.60%,20,1.60%,94.40%
2022-02,2720,California Highway Patrol,9828,1489,15.20%,150,1.50%,10.10%,322,3.30%,21.60%,472,4.80%,31.70%,1017,10.30%,68.30%,9356,95.20%,16.70%
2022-02,1750,California Horse Racing Board,54,29,53.70%,23,42.60%,79.30%,5,9.30%,17.20%,28,51.90%,96.60%,1,1.90%,3.40%,26,48.10%,71.10%
2022-02,1703,California Privacy Protection Agency,5,5,100.00%,4,80.00%,80.00%,0,0.00%,0.00%,4,80.00%,80.00%,1,20.00%,20.00%,1,20.00%,83.30%
2022-02,6250,California School for the Deaf - Riverside,327,19,5.80%,3,0.90%,15.80%,10,3.10%,52.60%,13,4.00%,68.40%,6,1.80%,31.60%,314,96.00%,32.80%
2022-02,A314,California Science Center,101,32,31.70%,2,2.00%,6.30%,28,27.70%,87.50%,30,29.70%,93.80%,2,2.00%,6.30%,71,70.30%,40.00%
2022-02,6120,California State Library,149,143,96.00%,84,56.40%,58.70%,57,38.30%,39.90%,141,94.60%,98.60%,2,1.30%,1.40%,8,5.40%,64.80%
2022-02,3125,California Tahoe Conservancy,42,42,100.00%,41,97.60%,97.60%,0,0.00%,0.00%,41,97.60%,97.60%,1,2.40%,2.40%,1,2.40%,97.60%
2022-02,2600,California Transportation Commission,37,37,100.00%,36,97.30%,97.30%,0,0.00%,0.00%,36,97.30%,97.30%,1,2.70%,2.70%,1,2.70%,87.60%
2022-02,7870,California Victim Compensation Board,231,226,97.80%,213,92.20%,94.20%,12,5.20%,5.30%,225,97.40%,99.60%,1,0.40%,0.40%,6,2.60%,74.10%
